Wavelength,n,k,n,k,n
285.5,1.49682,0.00395,3.188450603,1.211,1.541035987
286.3,1.49657,0.00394,3.201195217,1.193,1.540668635
287.1,1.49632,0.00392,3.213065095,1.175,1.540301282
287.9,1.49607,0.00391,3.224640886,1.157,1.53993393
288.7,1.49582,0.0039,3.235228963,1.138,1.539566577
289.5,1.49558,0.00389,3.245626808,1.12,1.539199225
290.3,1.49534,0.00387,3.254933731,1.101,1.538831872
291.1,1.4951,0.00386,3.264171441,1.083,1.53846452
291.9,1.49486,0.00385,3.272231773,1.064,1.538097167
292.7,1.49463,0.00384,3.280292105,1.045,1.537729815
293.5,1.4944,0.00382,3.287228721,1.026,1.537362462
294.3,1.49417,0.00381,3.294106789,1.007,1.53699511
295.1,1.49394,0.0038,3.300072951,0.9886,1.536627757
295.9,1.49372,0.00379,3.305856663,0.97,1.536260405
296.7,1.49349,0.00378,3.310943099,0.9515,1.535893052
297.4,1.49327,0.00377,3.315736164,0.9331,1.5355257
298.2,1.49305,0.00375,3.320034586,0.9149,1.535158347
299,1.49283,0.00374,3.323947734,0.8968,1.534790995
299.8,1.49262,0.00373,3.327546152,0.8788,1.534423642
300.6,1.49241,0.00372,3.330688034,0.861,1.53405629
301.4,1.49219,0.00371,3.333667222,0.8433,1.533688938
302.2,1.49198,0.0037,3.33613558,0.8258,1.533321585
303,1.49178,0.00369,3.338566757,0.8084,1.532954233
303.8,1.49157,0.00367,3.340440565,0.7912,1.53258688
304.6,1.49136,0.00366,3.342314373,0.7739,1.532219528
305.4,1.49116,0.00365,3.343717387,0.757,1.531852175
306.2,1.49096,0.00364,3.345050633,0.74,1.531484823
307,1.49076,0.00363,3.3460402,0.7231,1.53111747
307.8,1.49056,0.00362,3.346857941,0.7063,1.530750118
308.6,1.49036,0.00361,3.347441644,0.6896,1.530382765
309.4,1.49017,0.0036,3.347738958,0.6729,1.530015413
310.2,1.48997,0.00359,3.34791463,0.6562,1.52964806
311,1.48978,0.00358,3.347658847,0.6396,1.529280708
311.8,1.48959,0.00357,3.347403065,0.623,1.528913355
312.6,1.4894,0.00356,3.346553196,0.6065,1.528546003
313.3,1.48921,0.00355,3.345689516,0.5899,1.528193456
314.1,1.48903,0.00354,3.344337819,0.5734,1.52786616
314.9,1.48884,0.00353,3.342797919,0.5569,1.527538863
315.7,1.48866,0.00352,3.3409194,0.5405,1.527211567
316.5,1.48848,0.00351,3.338632105,0.5241,1.526884271
317.3,1.4883,0.0035,3.336206001,0.5078,1.526556974
318.1,1.48812,0.00349,3.333108616,0.4915,1.526229678
318.9,1.48795,0.00348,3.330011231,0.4753,1.525902382
319.7,1.48777,0.00347,3.326165372,0.4594,1.525575085
320.5,1.4876,0.00346,3.322214018,0.4434,1.525247789
321.3,1.48742,0.00345,3.317767503,0.4277,1.524920492
322.1,1.48725,0.00344,3.312944888,0.4121,1.524593196
322.9,1.48708,0.00343,3.307910513,0.3967,1.5242659
323.7,1.48691,0.00342,3.302230113,0.3816,1.523938603
324.5,1.48675,0.00341,3.296549712,0.3666,1.523611307
325.3,1.48658,0.0034,3.290127474,0.3521,1.523290724
326.1,1.48642,0.00339,3.283633661,0.3376,1.522997865
326.9,1.48625,0.00338,3.276721865,0.3236,1.522705006
327.7,1.48609,0.00337,3.269486504,0.3098,1.522412147
328.5,1.48593,0.00336,3.262120348,0.2963,1.522119288
329.2,1.48577,0.00335,3.254236722,0.2833,1.521826429
330,1.48562,0.00334,3.246353097,0.2703,1.52153357
330.8,1.48546,0.00333,3.238022516,0.2582,1.521240711
331.6,1.4853,0.00332,3.229597933,0.2461,1.520947852
332.4,1.48515,0.00332,3.220986686,0.2345,1.520654993
333.2,1.485,0.00331,3.212134935,0.2232,1.520362134
334,1.48485,0.0033,3.203272539,0.2121,1.520069275
334.8,1.4847,0.00329,3.194107141,0.2018,1.519776416
335.6,1.48455,0.00328,3.184941742,0.1915,1.519483557
336.4,1.4844,0.00327,3.175649416,0.1819,1.519190698
337.2,1.48425,0.00326,3.166278306,0.1724,1.518898441
338,1.48411,0.00325,3.156887261,0.1633,1.518635353
338.8,1.48396,0.00324,3.147409058,0.1548,1.518372264
339.6,1.48382,0.00324,3.137930856,0.1462,1.518109175
340.4,1.48368,0.00323,3.128437817,0.1384,1.517846086
341.2,1.48354,0.00322,3.1189396,0.1307,1.517582998
342,1.4834,0.00321,3.109456809,0.1234,1.517319909
342.8,1.48326,0.0032,3.100013247,0.1165,1.51705682
343.6,1.48312,0.00319,3.090569685,0.1096,1.516793731
344.4,1.48299,0.00319,3.081220775,0.1034,1.516530643
345.1,1.48285,0.00318,3.071894208,0.09724,1.516267554
345.9,1.48272,0.00317,3.062621588,0.09141,1.516004465
346.7,1.48259,0.00316,3.053462796,0.08596,1.515741376
347.5,1.48245,0.00315,3.044304004,0.08051,1.515478287
348.3,1.48232,0.00315,3.035315853,0.07567,1.515215199
349.1,1.48219,0.00314,3.026365239,0.07086,1.51495211
349.9,1.48206,0.00313,3.017487322,0.06631,1.514710894
350.7,1.48194,0.00312,3.008776321,0.06209,1.514473673
351.5,1.48181,0.00311,3.00006532,0.05787,1.514236452
352.3,1.48168,0.00311,2.991557902,0.05414,1.513999231
353.1,1.48156,0.0031,2.983110414,0.05046,1.51376201
353.9,1.48144,0.00309,2.974726825,0.04696,1.51352479
354.7,1.48131,0.00308,2.966560658,0.04378,1.513287569
355.5,1.48119,0.00307,2.95839449,0.0406,1.513050348
356.3,1.48107,0.00307,2.950424692,0.03777,1.512813127
357.1,1.48095,0.00306,2.942552924,0.03504,1.512575906
357.9,1.48083,0.00305,2.934709165,0.0324,1.512338685
358.7,1.48071,0.00304,2.927141474,0.03008,1.512101464
359.5,1.48059,0.00304,2.919573783,0.02775,1.511864243
360.3,1.48048,0.00303,2.912162697,0.02567,1.511627022
361,1.48036,0.00302,2.904906757,0.02372,1.511389801
361.8,1.48025,0.00301,2.897650817,0.02178,1.511167732
362.6,1.48013,0.00301,2.890681448,0.02017,1.510953095
363.4,1.48002,0.003,2.883744765,0.01856,1.510738459
364.2,1.47991,0.00299,2.876900186,0.01708,1.510523822
365,1.47979,0.00299,2.870294984,0.01578,1.510309186
