Wavelength,n,k,n,k,n
552.6,1.46603,0.00191,2.43237905,4.33E-08,1.481961738
553.4,1.466,0.00191,2.431809978,4.17E-08,1.481897108
554.2,1.46598,0.00191,2.431252518,4.03E-08,1.481832477
555,1.46595,0.00191,2.430696415,3.89E-08,1.481771421
555.8,1.46592,0.0019,2.430140312,3.75E-08,1.481710871
556.6,1.46589,0.0019,2.429584208,3.62E-08,1.481650322
557.4,1.46586,0.0019,2.42903926,3.50E-08,1.481589772
558.2,1.46583,0.00189,2.428495771,3.38E-08,1.481529222
559,1.4658,0.00189,2.427952282,3.27E-08,1.481468673
559.8,1.46577,0.00189,2.427408792,3.15E-08,1.481408123
560.6,1.46575,0.00189,2.426875733,3.05E-08,1.481347574
561.4,1.46572,0.00188,2.426344513,2.95E-08,1.481287024
562.2,1.46569,0.00188,2.425813293,2.85E-08,1.481226475
563,1.46566,0.00188,2.425282072,2.75E-08,1.481165925
563.8,1.46563,0.00187,2.424760313,2.66E-08,1.481105375
564.6,1.46561,0.00187,2.424241031,2.57E-08,1.481044826
565.4,1.46558,0.00187,2.423721749,2.48E-08,1.480984276
566.2,1.46555,0.00187,2.423202466,2.39E-08,1.480923727
567,1.46552,0.00186,2.42269145,2.32E-08,1.480865803
567.8,1.4655,0.00186,2.422183784,2.24E-08,1.480808999
568.5,1.46547,0.00186,2.421676117,2.17E-08,1.480752194
569.3,1.46544,0.00186,2.421168451,2.09E-08,1.480695389
570.1,1.46542,0.00185,2.420667648,2.02E-08,1.480638584
570.9,1.46539,0.00185,2.420171287,1.96E-08,1.480581779
571.7,1.46536,0.00185,2.419674926,1.90E-08,1.480524975
572.5,1.46534,0.00184,2.419178565,1.83E-08,1.48046817
573.3,1.46531,0.00184,2.418687474,1.78E-08,1.480411365
574.1,1.46529,0.00184,2.418202118,1.72E-08,1.48035456
574.9,1.46526,0.00184,2.417716762,1.67E-08,1.480297755
575.7,1.46523,0.00183,2.417231406,1.61E-08,1.480240951
576.5,1.46521,0.00183,2.416749551,1.56E-08,1.480184146
577.3,1.46518,0.00183,2.416274909,1.51E-08,1.480127341
578.1,1.46516,0.00183,2.415800267,1.46E-08,1.480070536
578.9,1.46513,0.00182,2.415325625,1.41E-08,1.480015544
579.7,1.46511,0.00182,2.414852557,1.37E-08,1.479962182
580.5,1.46508,0.00182,2.414388348,1.33E-08,1.479908819
581.3,1.46506,0.00182,2.413924139,1.28E-08,1.479855456
582.1,1.46503,0.00181,2.41345993,1.24E-08,1.479802094
582.9,1.46501,0.00181,2.412995721,1.20E-08,1.479748731
583.7,1.46498,0.00181,2.412541171,1.16E-08,1.479695369
584.5,1.46496,0.00181,2.412087122,1.13E-08,1.479642006
585.2,1.46493,0.0018,2.411633073,1.09E-08,1.479588644
586,1.46491,0.0018,2.411179024,1.06E-08,1.479535281
586.8,1.46488,0.0018,2.410732164,1.02E-08,1.479481919
587.6,1.46486,0.0018,2.410288012,9.93E-09,1.479428556
588.4,1.46483,0.00179,2.409843859,9.63E-09,1.479375193
589.2,1.46481,0.00179,2.409399707,9.33E-09,1.479321831
590,1.46479,0.00179,2.408960159,9.04E-09,1.479268468
590.8,1.46476,0.00179,2.408525648,8.77E-09,1.479216221
591.6,1.46474,0.00178,2.408091136,8.51E-09,1.479166028
592.4,1.46471,0.00178,2.407656625,8.24E-09,1.479115835
593.2,1.46469,0.00178,2.407224033,7.98E-09,1.479065642
594,1.46467,0.00178,2.406798915,7.75E-09,1.479015449
594.8,1.46464,0.00177,2.406373797,7.51E-09,1.478965257
595.6,1.46462,0.00177,2.405948679,7.28E-09,1.478915064
596.4,1.4646,0.00177,2.405523562,7.05E-09,1.478864871
597.2,1.46457,0.00177,2.40510674,6.85E-09,1.478814678
598,1.46455,0.00176,2.404690776,6.65E-09,1.478764485
598.8,1.46453,0.00176,2.404274812,6.45E-09,1.478714292
599.6,1.46451,0.00176,2.403858848,6.25E-09,1.478664099
600.4,1.46448,0.00176,2.40344809,6.06E-09,1.478613906
601.1,1.46446,0.00175,2.403041047,5.89E-09,1.478563713
601.9,1.46444,0.00175,2.402634004,5.71E-09,1.47851352
602.7,1.46442,0.00175,2.402226961,5.54E-09,1.478463845
603.5,1.46439,0.00175,2.401821969,5.37E-09,1.478416576
604.3,1.46437,0.00174,2.401423622,5.22E-09,1.478369306
605.1,1.46435,0.00174,2.401025274,5.07E-09,1.478322037
605.9,1.46433,0.00174,2.400626927,4.91E-09,1.478274768
606.7,1.46431,0.00174,2.400228579,4.76E-09,1.478227498
607.5,1.46428,0.00173,2.399837548,4.63E-09,1.478180229
608.3,1.46426,0.00173,2.399447678,4.50E-09,1.478132959
609.1,1.46424,0.00173,2.399057807,4.36E-09,1.47808569
609.9,1.46422,0.00173,2.398667937,4.23E-09,1.47803842
610.7,1.4642,0.00172,2.39828191,4.11E-09,1.477991151
611.5,1.46418,0.00172,2.397900304,4.00E-09,1.477943881
612.3,1.46416,0.00172,2.397518698,3.88E-09,1.477896612
613.1,1.46413,0.00172,2.397137093,3.76E-09,1.477849343
613.9,1.46411,0.00172,2.396755822,3.65E-09,1.477802073
614.7,1.46409,0.00171,2.396382276,3.55E-09,1.47775481
615.5,1.46407,0.00171,2.39600873,3.45E-09,1.477710242
616.3,1.46405,0.00171,2.395635184,3.36E-09,1.477665673
617,1.46403,0.00171,2.395261637,3.26E-09,1.477621104
617.8,1.46401,0.0017,2.394892748,3.17E-09,1.477576536
618.6,1.46399,0.0017,2.394527062,3.08E-09,1.477531967
619.4,1.46397,0.0017,2.394161375,2.99E-09,1.477487398
620.2,1.46395,0.0017,2.393795688,2.91E-09,1.47744283
621,1.46393,0.0017,2.393430906,2.82E-09,1.477398261
621.8,1.46391,0.00169,2.393072885,2.74E-09,1.477353692
622.6,1.46389,0.00169,2.392714864,2.66E-09,1.477309124
623.4,1.46387,0.00169,2.392356843,2.59E-09,1.477264555
624.2,1.46385,0.00169,2.391998822,2.51E-09,1.477219986
625,1.46383,0.00168,2.391645418,2.44E-09,1.477175418
625.8,1.46381,0.00168,2.391294875,2.37E-09,1.477130849
626.6,1.46379,0.00168,2.390944332,2.31E-09,1.47708628
627.4,1.46377,0.00168,2.390593789,2.24E-09,1.47704378
628.2,1.46375,0.00168,2.39024391,2.18E-09,1.477001711
629,1.46373,0.00167,2.389900662,2.12E-09,1.476959641
629.8,1.46371,0.00167,2.389557414,2.06E-09,1.476917571
630.6,1.46369,0.00167,2.389214166,2.01E-09,1.476875501
631.4,1.46367,0.00167,2.388870918,1.95E-09,1.476833431
632.2,1.46365,0.00166,2.388531501,1.90E-09,1.476791362
632.9,1.46363,0.00166,2.388195371,1.85E-09,1.476749292
633.7,1.46362,0.00166,2.387859241,1.80E-09,1.476707222
634.5,1.4636,0.00166,2.38752311,1.75E-09,1.476665152
635.3,1.46358,0.00166,2.38718698,1.70E-09,1.476623082
636.1,1.46356,0.00165,2.386857513,1.65E-09,1.476581013
636.9,1.46354,0.00165,2.386528329,1.60E-09,1.476538943
637.7,1.46352,0.00165,2.386199144,1.56E-09,1.476496873
638.5,1.4635,0.00165,2.385869959,1.51E-09,1.476454803
639.3,1.46348,0.00165,2.385543174,1.47E-09,1.476414246
640.1,1.46347,0.00164,2.385220767,1.43E-09,1.476374492
640.9,1.46345,0.00164,2.38489836,1.39E-09,1.476334737
641.7,1.46343,0.00164,2.384575953,1.35E-09,1.476294983
642.5,1.46341,0.00164,2.384253546,1.32E-09,1.476255229
643.3,1.46339,0.00163,2.383935917,1.28E-09,1.476215474
644.1,1.46338,0.00163,2.383620125,1.25E-09,1.47617572
644.9,1.46336,0.00163,2.383304334,1.21E-09,1.476135966
645.7,1.46334,0.00163,2.382988542,1.18E-09,1.476096212
646.5,1.46332,0.00163,2.382673161,1.14E-09,1.476056457
647.3,1.4633,0.00162,2.382363826,1.11E-09,1.476016703
648.1,1.46329,0.00162,2.382054492,1.08E-09,1.475976949
648.8,1.46327,0.00162,2.381745158,1.05E-09,1.475937194
649.6,1.46325,0.00162,2.381435824,1.02E-09,1.47589744
650.4,1.46323,0.00162,2.381128872,9.96E-10,1.475857686
651.2,1.46322,0.00161,2.380825841,9.70E-10,1.47581896
652,1.4632,0.00161,2.38052281,9.44E-10,1.475781354
652.8,1.46318,0.00161,2.38021978,9.17E-10,1.475743748
653.6,1.46316,0.00161,2.379916749,8.91E-10,1.475706143
654.4,1.46315,0.00161,2.379617813,8.67E-10,1.475668537
655.2,1.46313,0.0016,2.379320936,8.44E-10,1.475630931
656,1.46311,0.0016,2.37902406,8.21E-10,1.475593326
656.8,1.4631,0.0016,2.378727184,7.98E-10,1.47555572
657.6,1.46308,0.0016,2.378430307,7.75E-10,1.475518114
658.4,1.46306,0.0016,2.378138992,7.54E-10,1.475480509
659.2,1.46304,0.00159,2.377848124,7.34E-10,1.475442903
660,1.46303,0.00159,2.377557256,7.14E-10,1.475405297
660.8,1.46301,0.00159,2.377266388,6.93E-10,1.475367692
661.6,1.46299,0.00159,2.376976449,6.74E-10,1.475330086
662.4,1.46298,0.00159,2.376691449,6.56E-10,1.475292481
663.2,1.46296,0.00158,2.376406449,6.38E-10,1.475255481
664,1.46294,0.00158,2.376121449,6.20E-10,1.475219872
664.7,1.46293,0.00158,2.375836449,6.02E-10,1.475184263
665.5,1.46291,0.00158,2.375553532,5.85E-10,1.475148654
666.3,1.4629,0.00158,2.375274262,5.69E-10,1.475113045
667.1,1.46288,0.00157,2.374994992,5.53E-10,1.475077436
667.9,1.46286,0.00157,2.374715723,5.37E-10,1.475041827
668.7,1.46285,0.00157,2.374436453,5.21E-10,1.475006218
669.5,1.46283,0.00157,2.374160212,5.07E-10,1.474970609
670.3,1.46281,0.00157,2.373886538,4.93E-10,1.474934999
671.1,1.4628,0.00157,2.373612864,4.79E-10,1.47489939
671.9,1.46278,0.00156,2.373339191,4.65E-10,1.474863781
672.7,1.46277,0.00156,2.373065517,4.51E-10,1.474828172
673.5,1.46275,0.00156,2.372795621,4.39E-10,1.474792563
674.3,1.46273,0.00156,2.372527413,4.26E-10,1.474756954
675.1,1.46272,0.00156,2.372259206,4.14E-10,1.474721585
675.9,1.4627,0.00155,2.371990998,4.02E-10,1.474687833
676.7,1.46269,0.00155,2.371722791,3.90E-10,1.474654082
677.5,1.46267,0.00155,2.371458923,3.79E-10,1.47462033
678.3,1.46266,0.00155,2.371196055,3.68E-10,1.474586579
679.1,1.46264,0.00155,2.370933187,3.57E-10,1.474552828
679.9,1.46263,0.00154,2.370670319,3.46E-10,1.474519076
680.6,1.46261,0.00154,2.370407452,3.35E-10,1.474485325
681.4,1.46259,0.00154,2.370149312,3.25E-10,1.474451573
682.2,1.46258,0.00154,2.369891661,3.15E-10,1.474417822
683,1.46256,0.00154,2.369634009,3.05E-10,1.47438407
683.8,1.46255,0.00154,2.369376358,2.96E-10,1.474350319
684.6,1.46253,0.00153,2.369118706,2.86E-10,1.474316568
685.4,1.46252,0.00153,2.368866007,2.78E-10,1.474282816
686.2,1.4625,0.00153,2.368613452,2.69E-10,1.474249065
687,1.46249,0.00153,2.368360896,2.61E-10,1.474215313
687.8,1.46247,0.00153,2.368108341,2.52E-10,1.474183214
688.6,1.46246,0.00152,2.367855828,2.44E-10,1.474151193
689.4,1.46244,0.00152,2.367608253,2.36E-10,1.474119172
690.2,1.46243,0.00152,2.367360677,2.29E-10,1.474087151
691,1.46241,0.00152,2.367113102,2.21E-10,1.474055131
691.8,1.4624,0.00152,2.366865526,2.13E-10,1.47402311
692.6,1.46238,0.00152,2.366618032,2.06E-10,1.473991089
693.4,1.46237,0.00151,2.366375322,1.99E-10,1.473959068
694.2,1.46236,0.00151,2.366132612,1.92E-10,1.473927048
695,1.46234,0.00151,2.365889902,1.86E-10,1.473895027
695.8,1.46233,0.00151,2.365647192,1.79E-10,1.473863006
696.5,1.46231,0.00151,2.365404483,1.72E-10,1.473830985
697.3,1.4623,0.0015,2.365166509,1.66E-10,1.473798964
698.1,1.46228,0.0015,2.364928554,1.60E-10,1.473766944
698.9,1.46227,0.0015,2.364690599,1.54E-10,1.473734923
699.7,1.46225,0.0015,2.364452644,1.48E-10,1.473704161
700.5,1.46224,0.0015,2.364214689,1.43E-10,1.473673755
701.3,1.46223,0.0015,2.363981132,1.37E-10,1.473643348
702.1,1.46221,0.00149,2.363747824,1.32E-10,1.473612942
702.9,1.4622,0.00149,2.363514517,1.27E-10,1.473582535
703.7,1.46218,0.00149,2.363281209,1.21E-10,1.473552129
704.5,1.46217,0.00149,2.363047901,1.16E-10,1.473521722
705.3,1.46216,0.00149,2.362818533,1.11E-10,1.473491316
706.1,1.46214,0.00149,2.362589768,1.06E-10,1.47346091
706.9,1.46213,0.00148,2.362361002,1.02E-10,1.473430503
707.7,1.46211,0.00148,2.362132236,9.68E-11,1.473400097
708.5,1.4621,0.00148,2.36190347,9.20E-11,1.47336969
709.3,1.46209,0.00148,2.361678076,8.77E-11,1.473339284
710.1,1.46207,0.00148,2.361453749,8.34E-11,1.473308877
710.9,1.46206,0.00147,2.361229423,7.91E-11,1.473278471
711.7,1.46205,0.00147,2.361005097,7.49E-11,1.473248977
712.4,1.46203,0.00147,2.36078077,7.06E-11,1.473220078
713.2,1.46202,0.00147,2.360559142,6.67E-11,1.473191179
714,1.46201,0.00147,2.360339155,6.29E-11,1.47316228
714.8,1.46199,0.00147,2.360119169,5.91E-11,1.473133382
715.6,1.46198,0.00146,2.359899182,5.52E-11,1.473104483
716.4,1.46197,0.00146,2.359679195,5.14E-11,1.473075584
717.2,1.46195,0.00146,2.359461137,4.79E-11,1.473046685
718,1.46194,0.00146,2.359245392,4.45E-11,1.473017786
718.8,1.46193,0.00146,2.359029648,4.11E-11,1.472988887
719.6,1.46191,0.00146,2.358813904,3.76E-11,1.472959989
720.4,1.4619,0.00145,2.358598159,3.42E-11,1.47293109
721.2,1.46189,0.00145,2.358383482,3.10E-11,1.472902191
722,1.46187,0.00145,2.358171886,2.79E-11,1.472873292
722.8,1.46186,0.00145,2.357960289,2.49E-11,1.472844393
723.6,1.46185,0.00145,2.357748693,2.18E-11,1.472816101
724.4,1.46183,0.00145,2.357537096,1.87E-11,1.472788612
725.2,1.46182,0.00144,2.357325622,1.57E-11,1.472761123
726,1.46181,0.00144,2.357118081,1.30E-11,1.472733634
726.8,1.4618,0.00144,2.356910539,1.02E-11,1.472706144
727.6,1.46178,0.00144,2.356702998,7.48E-12,1.472678655
728.3,1.46177,0.00144,2.356495457,4.74E-12,1.472651166
729.1,1.46176,0.00144,2.356287915,1.99E-12,1.472623677
729.9,1.46175,0.00144,2.356083439,1.46E-12,1.472596187
730.7,1.46173,0.00143,2.355879862,1.13E-12,1.472568698
731.5,1.46172,0.00143,2.355676286,7.93E-13,1.472541209
732.3,1.46171,0.00143,2.35547271,4.58E-13,1.47251372
733.1,1.4617,0.00143,2.355269133,1.24E-13,1.47248623
733.9,1.46168,0.00143,2.355067439,0,1.472458741
734.7,1.46167,0.00143,2.35486774,0,1.472431252
735.5,1.46166,0.00142,2.354668041,0,1.4724041
736.3,1.46165,0.00142,2.354468342,0,1.47237793
737.1,1.46163,0.00142,2.354268643,0,1.47235176
737.9,1.46162,0.00142,2.354069578,0,1.47232559
738.7,1.46161,0.00142,2.353873671,0,1.472299421
739.5,1.4616,0.00142,2.353677763,0,1.472273251
740.3,1.46159,0.00141,2.353481856,0,1.472247081
741.1,1.46157,0.00141,2.353285948,0,1.472220911
741.9,1.46156,0.00141,2.353090041,0,1.472194741
742.7,1.46155,0.00141,2.352897168,0,1.472168571
743.5,1.46154,0.00141,2.352704968,0,1.472142401
744.3,1.46153,0.00141,2.352512769,0,1.472116231
745,1.46151,0.00141,2.352320569,0,1.472090062
745.8,1.4615,0.0014,2.352128369,0,1.472063892
746.6,1.46149,0.0014,2.351937761,0,1.472037722
747.4,1.46148,0.0014,2.351749188,0,1.472011652
748.2,1.46147,0.0014,2.351560615,0,1.471986719
749,1.46146,0.0014,2.351372042,0,1.471961785
749.8,1.46144,0.0014,2.35118347,0,1.471936851
750.6,1.46143,0.00139,2.350994996,0,1.471911918
751.4,1.46142,0.00139,2.35080997,0,1.471886984
752.2,1.46141,0.00139,2.350624944,0,1.471862051
753,1.4614,0.00139,2.350439918,0,1.471837117
753.8,1.46139,0.00139,2.350254892,0,1.471812183
754.6,1.46138,0.00139,2.350069866,0,1.47178725
755.4,1.46136,0.00139,2.349886872,0,1.471762316
756.2,1.46135,0.00138,2.349705316,0,1.471737383
757,1.46134,0.00138,2.34952376,0,1.471712449
757.8,1.46133,0.00138,2.349342204,0,1.471687515
758.6,1.46132,0.00138,2.349160648,0,1.471662582
759.4,1.46131,0.00138,2.348979473,0,1.471637648
760.2,1.4613,0.00138,2.34880131,0,1.471613765
760.9,1.46129,0.00137,2.348623148,0,1.471589992
761.7,1.46128,0.00137,2.348444985,0,1.471566218
762.5,1.46126,0.00137,2.348266823,0,1.471542444
763.3,1.46125,0.00137,2.34808866,0,1.47151867
764.1,1.46124,0.00137,2.347912514,0,1.471494896
764.9,1.46123,0.00137,2.347737671,0,1.471471122
765.7,1.46122,0.00137,2.347562828,0,1.471447348
766.5,1.46121,0.00136,2.347387986,0,1.471423574
767.3,1.4612,0.00136,2.347213143,0,1.4713998
768.1,1.46119,0.00136,2.34703853,0,1.471376026
768.9,1.46118,0.00136,2.346866935,0,1.471352252
769.7,1.46117,0.00136,2.34669534,0,1.471328478
770.5,1.46116,0.00136,2.346523746,0,1.471304704
771.3,1.46115,0.00136,2.346352151,0,1.47128093
772.1,1.46114,0.00135,2.346180557,0,1.471257952
772.9,1.46113,0.00135,2.346010556,0,1.471235267
773.7,1.46111,0.00135,2.34584214,0,1.471212582
774.5,1.4611,0.00135,2.345673723,0,1.471189897
775.3,1.46109,0.00135,2.345505306,0,1.471167211
776.1,1.46108,0.00135,2.345336889,0,1.471144526
776.8,1.46107,0.00135,2.345168472,0,1.471121841
777.6,1.46106,0.00134,2.345002855,0,1.471099156
778.4,1.46105,0.00134,2.344837547,0,1.471076471
779.2,1.46104,0.00134,2.344672239,0,1.471053785
780,1.46103,0.00134,2.344506931,0,1.4710311
780.8,1.46102,0.00134,2.344341623,0,1.471008415
781.6,1.46101,0.00134,2.344177129,0,1.47098573
782.4,1.461,0.00134,2.344014863,0,1.470963045
783.2,1.46099,0.00133,2.343852597,0,1.470940359
784,1.46098,0.00133,2.343690331,0,1.470918244
784.8,1.46097,0.00133,2.343528065,0,1.470896582
785.6,1.46096,0.00133,2.343365799,0,1.47087492
786.4,1.46095,0.00133,2.343205323,0,1.470853259
787.2,1.46094,0.00133,2.343046034,0,1.470831597
788,1.46093,0.00133,2.342886744,0,1.470809935
788.8,1.46092,0.00133,2.342727455,0,1.470788273
789.6,1.46091,0.00132,2.342568165,0,1.470766611
790.4,1.4609,0.00132,2.342408876,0,1.470744949
791.2,1.46089,0.00132,2.342252217,0,1.470723287
792,1.46088,0.00132,2.34209584,0,1.470701625
792.7,1.46087,0.00132,2.341939463,0,1.470679963
793.5,1.46086,0.00132,2.341783086,0,1.470658302
794.3,1.46086,0.00132,2.341626709,0,1.47063664
795.1,1.46085,0.00131,2.341470822,0,1.470614978
795.9,1.46084,0.00131,2.341317295,0,1.470593684
796.7,1.46083,0.00131,2.341163768,0,1.470572985
797.5,1.46082,0.00131,2.341010242,0,1.470552286
798.3,1.46081,0.00131,2.340856715,0,1.470531586
799.1,1.4608,0.00131,2.340703188,0,1.470510887
799.9,1.46079,0.00131,2.340550797,0,1.470490188
800.7,1.46078,0.00131,2.34040006,0,1.470469489
801.5,1.46077,0.0013,2.340249323,0,1.470448789
802.3,1.46076,0.0013,2.340098585,0,1.47042809
803.1,1.46075,0.0013,2.339947848,0,1.470407391
803.9,1.46074,0.0013,2.339797111,0,1.470386692
804.7,1.46073,0.0013,2.339648037,0,1.470365993
805.5,1.46072,0.0013,2.33950003,0,1.470345293
806.3,1.46072,0.0013,2.339352022,0,1.470324594
807.1,1.46071,0.00129,2.339204015,0,1.470303895
807.9,1.4607,0.00129,2.339056007,0,1.470283384
808.6,1.46069,0.00129,2.338908,0,1.470263591
809.4,1.46068,0.00129,2.338762071,0,1.470243799
810.2,1.46067,0.00129,2.338616735,0,1.470224006
811,1.46066,0.00129,2.338471399,0,1.470204213
811.8,1.46065,0.00129,2.338326064,0,1.47018442
812.6,1.46064,0.00129,2.338180728,0,1.470164628
813.4,1.46063,0.00128,2.338035392,0,1.470144835
814.2,1.46063,0.00128,2.337892444,0,1.470125042
815,1.46062,0.00128,2.337749723,0,1.470105249
815.8,1.46061,0.00128,2.337607003,0,1.470085457
816.6,1.4606,0.00128,2.337464282,0,1.470065664
817.4,1.46059,0.00128,2.337321561,0,1.470045871
818.2,1.46058,0.00128,2.337178877,0,1.470026078
819,1.46057,0.00128,2.337038716,0,1.470006286
819.8,1.46056,0.00127,2.336898554,0,1.469986521
820.6,1.46056,0.00127,2.336758393,0,1.469967583
821.4,1.46055,0.00127,2.336618232,0,1.469948644
822.2,1.46054,0.00127,2.33647807,0,1.469929706
823,1.46053,0.00127,2.336338113,0,1.469910767
823.8,1.46052,0.00127,2.336200457,0,1.469891829
824.5,1.46051,0.00127,2.336062801,0,1.46987289
825.3,1.46051,0.00127,2.335925145,0,1.469853952
826.1,1.4605,0.00126,2.335787489,0,1.469835014
826.9,1.46049,0.00126,2.335649833,0,1.469816075
827.7,1.46048,0.00126,2.335512458,0,1.469797137
828.5,1.46047,0.00126,2.335377254,0,1.469778198
829.3,1.46046,0.00126,2.33524205,0,1.46975926
830.1,1.46046,0.00126,2.335106846,0,1.469740321
830.9,1.46045,0.00126,2.334971642,0,1.469721383
831.7,1.46044,0.00126,2.334836438,0,1.469702445
832.5,1.46043,0.00125,2.334701506,0,1.469684198
833.3,1.46042,0.00125,2.334568703,0,1.469666065
834.1,1.46041,0.00125,2.334435899,0,1.469647933
834.9,1.46041,0.00125,2.334303096,0,1.4696298
835.7,1.4604,0.00125,2.334170293,0,1.469611667
836.5,1.46039,0.00125,2.33403749,0,1.469593535
837.3,1.46038,0.00125,2.333904867,0,1.469575402
838.1,1.46037,0.00125,2.333774414,0,1.46955727
838.9,1.46037,0.00124,2.333643961,0,1.469539137
839.7,1.46036,0.00124,2.333513508,0,1.469521004
840.4,1.46035,0.00124,2.333383054,0,1.469502872
841.2,1.46034,0.00124,2.333252601,0,1.469484739
842,1.46033,0.00124,2.333122162,0,1.469466607
842.8,1.46033,0.00124,2.332994009,0,1.469448474
843.6,1.46032,0.00124,2.332865856,0,1.469430341
844.4,1.46031,0.00124,2.332737704,0,1.469412729
845.2,1.4603,0.00124,2.332609551,0,1.469395357
846,1.4603,0.00123,2.332481398,0,1.469377985
846.8,1.46029,0.00123,2.332353245,0,1.469360613
847.6,1.46028,0.00123,2.332227119,0,1.469343241
848.4,1.46027,0.00123,2.332101219,0,1.46932587
849.2,1.46026,0.00123,2.331975318,0,1.469308498
850,1.46026,0.00123,2.331849418,0,1.469291126
850.8,1.46025,0.00123,2.331723518,0,1.469273754
851.6,1.46024,0.00123,2.331597617,0,1.469256382
852.4,1.46023,0.00122,2.33147339,0,1.46923901
853.2,1.46023,0.00122,2.331349694,0,1.469221639
854,1.46022,0.00122,2.331225999,0,1.469204267
854.8,1.46021,0.00122,2.331102304,0,1.469186895
855.6,1.4602,0.00122,2.330978608,0,1.469169523
856.3,1.4602,0.00122,2.330854913,0,1.469152517
857.1,1.46019,0.00122,2.330732474,0,1.469135864
857.9,1.46018,0.00122,2.330610937,0,1.469119211
858.7,1.46017,0.00122,2.330489401,0,1.469102558
859.5,1.46017,0.00121,2.330367864,0,1.469085905
860.3,1.46016,0.00121,2.330246328,0,1.469069252
861.1,1.46015,0.00121,2.330124791,0,1.469052599
861.9,1.46014,0.00121,2.330004035,0,1.469035946
862.7,1.46014,0.00121,2.329884613,0,1.469019292
863.5,1.46013,0.00121,2.32976519,0,1.469002639
864.3,1.46012,0.00121,2.329645767,0,1.468985986
865.1,1.46012,0.00121,2.329526344,0,1.468969333
865.9,1.46011,0.00121,2.329406922,0,1.46895268
866.7,1.4601,0.0012,2.32928775,0,1.468936027
867.5,1.46009,0.0012,2.329170397,0,1.468919374
868.3,1.46009,0.0012,2.329053044,0,1.468902948
869.1,1.46008,0.0012,2.328935691,0,1.468886975
869.9,1.46007,0.0012,2.328818338,0,1.468871001
870.7,1.46007,0.0012,2.328700985,0,1.468855028
871.5,1.46006,0.0012,2.328583632,0,1.468839055
872.2,1.46005,0.0012,2.328467974,0,1.468823081
873,1.46004,0.0012,2.328352647,0,1.468807108
873.8,1.46004,0.00119,2.328237321,0,1.468791135
874.6,1.46003,0.00119,2.328121994,0,1.468775161
875.4,1.46002,0.00119,2.328006667,0,1.468759188
876.2,1.46002,0.00119,2.32789134,0,1.468743214
877,1.46001,0.00119,2.327777038,0,1.468727241
877.8,1.46,0.00119,2.327663695,0,1.468711268
878.6,1.46,0.00119,2.327550353,0,1.468695294
879.4,1.45999,0.00119,2.32743701,0,1.468679321
880.2,1.45998,0.00119,2.327323668,0,1.46866345
881,1.45998,0.00118,2.327210326,0,1.46864812
881.8,1.45997,0.00118,2.327097292,0,1.46863279
882.6,1.45996,0.00118,2.326985893,0,1.46861746
883.4,1.45996,0.00118,2.326874493,0,1.468602129
884.2,1.45995,0.00118,2.326763094,0,1.468586799
885,1.45994,0.00118,2.326651695,0,1.468571469
885.8,1.45994,0.00118,2.326540295,0,1.468556139
886.6,1.45993,0.00118,2.326428896,0,1.468540809
887.4,1.45992,0.00118,2.326318952,0,1.468525478
888.2,1.45991,0.00117,2.326209456,0,1.468510148
888.9,1.45991,0.00117,2.326099959,0,1.468494818
889.7,1.4599,0.00117,2.325990462,0,1.468479488
890.5,1.4599,0.00117,2.325880966,0,1.468464158
891.3,1.45989,0.00117,2.325771469,0,1.468448827
892.1,1.45988,0.00117,2.325662595,0,1.468433497
892.9,1.45988,0.00117,2.325554962,0,1.468418767
893.7,1.45987,0.00117,2.325447328,0,1.468404046
894.5,1.45986,0.00117,2.325339694,0,1.468389325
895.3,1.45986,0.00117,2.32523206,0,1.468374604
896.1,1.45985,0.00116,2.325124427,0,1.468359883
896.9,1.45984,0.00116,2.325016793,0,1.468345161
897.7,1.45984,0.00116,2.32491074,0,1.46833044
898.5,1.45983,0.00116,2.324804931,0,1.468315719
899.3,1.45982,0.00116,2.324699122,0,1.468300998
900.1,1.45982,0.00116,2.324593313,0,1.468286277
900.9,1.45981,0.00116,2.324487504,0,1.468271556
901.7,1.4598,0.00116,2.324381695,0,1.468256835
902.5,1.4598,0.00116,2.324276531,0,1.468242114
903.3,1.45979,0.00116,2.324172509,0,1.468227393
904.1,1.45979,0.00115,2.324068487,0,1.468212672
904.8,1.45978,0.00115,2.323964465,0,1.468198418
905.6,1.45977,0.00115,2.323860443,0,1.468184274
906.4,1.45977,0.00115,2.32375642,0,1.468170131
907.2,1.45976,0.00115,2.323652398,0,1.468155987
908,1.45975,0.00115,2.323549808,0,1.468141843
908.8,1.45975,0.00115,2.323447536,0,1.468127699
909.6,1.45974,0.00115,2.323345263,0,1.468113555
910.4,1.45973,0.00115,2.323242991,0,1.468099412
911.2,1.45973,0.00114,2.323140718,0,1.468085268
912,1.45972,0.00114,2.323038446,0,1.468071124
912.8,1.45972,0.00114,2.322936581,0,1.46805698
913.6,1.45971,0.00114,2.322836022,0,1.468042836
914.4,1.4597,0.00114,2.322735463,0,1.468028692
915.2,1.4597,0.00114,2.322634904,0,1.468014549
916,1.45969,0.00114,2.322534345,0,1.468000405
916.8,1.45969,0.00114,2.322433786,0,1.467986609
917.6,1.45968,0.00114,2.322333227,0,1.467973012
918.4,1.45967,0.00114,2.322233708,0,1.467959416
919.2,1.45967,0.00113,2.322134827,0,1.46794582
